,ttime,P,error_P,SV,error_SV,SH,error_SH
277.0,3.156531490996292,-1.4853884405168412e-05,9.186730296161765e-06,-2.221148394210851e-06,9.889897956473059e-07,-0.0002133712532295897,4.9168490201663686e-05
288.0,3.160501673601693,-1.5701838870034767e-05,1.077971893999057e-05,-1.6518499061244113e-06,1.1049057350736355e-06,-0.00023254682021257774,4.455893420157472e-05
299.0,3.1562997641540744,-1.3855327488075055e-05,1.0589460077000246e-05,-1.7102305507187993e-07,2.2089333759129162e-07,-9.827490954686193e-05,4.592877043680783e-05
310.0,3.1516024716402304,-7.879033888106202e-06,6.682187690263457e-06,-1.6538511536842586e-07,2.6106579365712115e-07,-8.894103208106772e-05,4.569161617851792e-05
321.0,3.1578450112677743,-1.0859908691154717e-05,8.318011252202412e-06,-1.449499178226943e-06,9.635879771896232e-07,-0.0001270229130535277,5.4380671829099566e-05
332.0,3.151725956678649,-9.272012610734192e-06,8.24255388381278e-06,-1.1179584981919285e-06,6.884766188951475e-07,-0.00023530472367591047,5.5848294589840035e-05
343.0,3.1593715726211733,-6.291722832094808e-06,6.893840012245186e-06,-1.2639614809608108e-06,7.408130241205842e-07,-4.152252810377345e-05,5.300535890719058e-05
354.0,3.15690297674938,-1.9203724272630442e-05,1.0352859911937284e-05,-3.3169720829702787e-06,1.2779747672283757e-06,-0.0004091051904267348,5.1112568927993754e-05
365.0,3.1553919632781144,-0.0006781721517853769,1.5171956904271732e-05,-3.964412779736751e-05,1.6748290734067676e-05,-0.0004336783175376676,4.8243944800840535e-05
376.0,3.136648693485052,-0.0007199004922807039,5.917323009214244e-06,-1.2935346936129884e-06,1.4608322129754011e-05,0.00013000050932771365,5.906147507485093e-05
387.0,3.1054854810630044,-0.0007280140307248705,5.8651021928543855e-06,-3.854440963746976e-05,1.4098700707303834e-05,1.031007969967778e-05,5.960062017114207e-05
398.0,3.078237278751153,-0.0007379583835735162,4.742536076315188e-06,-3.290428903143573e-06,1.5393433877847383e-05,2.555814619216535e-05,5.651432554897857e-05
409.0,3.0546033064770635,-0.0007415987300885842,4.626545460418379e-06,-2.474744987709685e-05,1.8819632046693914e-05,0.00014028086489730753,6.353353825119458e-05
420.0,3.0257758229175127,-0.0006859729512901012,1.6689109697688174e-05,-4.977808854941396e-05,1.739224355360498e-05,0.0004651975146564816,5.5000283117892766e-05
431.0,2.9997193494499013,-6.283187505219178e-07,1.7895773663700937e-06,7.466759652925604e-08,1.849477735311271e-07,8.99639729975011e-05,6.126331588660146e-05
442.0,2.9988227171178456,-5.529632858605331e-06,5.288985831334949e-06,-1.7759378200226772e-07,2.8876184638319085e-07,0.00013493097489251758,5.9612664040093025e-05
453.0,2.9970907648617024,-3.234762422182495e-06,4.58172405302819e-06,-2.4928810490316924e-07,2.1083429661643176e-07,-3.5749836614362774e-05,6.19414609085557e-05
464.0,2.997528507021654,-1.0962204227483026e-05,9.456256462002743e-06,-8.899606756417066e-07,5.764357854134579e-07,-0.00023921864049779128,5.20638894477309e-05
475.0,3.000330221757886,-9.167450629277507e-06,8.23949529368931e-06,-1.4256062764815927e-06,7.672484546273807e-07,-0.00013602827939480846,5.131162749106306e-05
486.0,2.9983770973830675,-9.283090349915538e-06,8.388811937104666e-06,-2.167193825339321e-06,8.685435467332628e-07,-0.00021270393372637406,5.3845438328655426e-05
497.0,3.001025677532838,-1.4047194743736522e-05,9.43454206652238e-06,-1.229922945325231e-06,5.11666222679608e-07,-8.961110931491613e-05,5.272146743149989e-05
508.0,2.9939571487530157,-1.6289934225709873e-05,8.425052559024005e-06,-1.9034509678063855e-06,1.0611500702939546e-06,-0.0002458822849307956,5.6064133034009526e-05
519.0,3.001849958759914,-1.5453075428319816e-05,1.0404440234998697e-05,-3.039471530818266e-06,1.4498171089902176e-06,-0.0001782100846141208,4.873330424208773e-05
530.0,2.9989139377582132,-1.4934129290835162e-05,9.883869354193192e-06,-2.342604118547772e-06,1.2530910884652604e-06,-0.00023567647215023353,4.301742754750271e-05
541.0,3.0019942471587044,-2.4961978085859517e-05,1.1258545809836858e-05,-2.3896226947896603e-06,1.461813012125902e-06,-0.00019477594883575666,4.317649833021687e-05
552.0,3.0075147348283267,-2.4294711372615004e-05,1.230026334708764e-05,-9.255068700681474e-07,4.894452634712355e-07,-7.471694515696586e-05,4.2543453277405345e-05
563.0,3.0059558472204033,-1.4703953300888307e-05,9.202217784968229e-06,-3.1679418269341934e-07,4.5389185039757374e-07,-0.00015123809049438308,4.4033707415693403e-05
574.0,3.010020331341721,-0.0005617314329441693,2.8189344698036614e-05,-4.791130284244873e-06,1.526268713480573e-05,0.0003789985920561251,2.7293252493931302e-05
585.0,2.9904190621011733,-0.0007653066036191965,1.1475305304579799e-05,-3.080071877843237e-05,1.9825752204669064e-05,5.493286138485143e-05,4.071972435968722e-05
596.0,2.957157035241409,-0.0007677786006432105,1.2501917578999874e-05,-4.661284627042455e-05,2.347443036167346e-05,0.00014973754350621802,3.568000548393392e-05
607.0,2.9337562310478478,-0.0007766913735782908,1.5401437079733728e-05,-5.351359646450287e-05,1.7598087552084004e-05,0.00016118004177125456,4.946376376385074e-05
618.0,2.9028971619516533,-0.0007927107284005958,1.5497402212348074e-05,-2.0149454294129607e-07,1.83176303125218e-05,7.257354520600512e-05,3.88395659390503e-05
629.0,2.8736630666632585,-0.0008002386354519896,1.061340475526668e-05,-5.225478192308816e-05,1.8334647566467572e-05,2.6596125810151926e-05,3.70499262321736e-05
640.0,2.8412800751723473,-0.0004467341886747484,3.522965966695575e-05,-2.9435717307380416e-05,1.0687325757749207e-05,-0.0004750646201948487,1.810093530793151e-05
651.0,2.8279131348759323,-0.00026576253510533624,3.448858403180443e-05,-8.960312567005252e-06,5.492863854975725e-06,-0.0005419523292799484,2.122716089250271e-05
662.0,2.8126289783046796,-0.00025268406870629075,3.333153945089728e-05,-1.1578697857927387e-05,5.382041516236004e-06,-0.00048631005346627795,2.5924323320532515e-05
673.0,2.802916434339603,-0.0002631660133704561,3.225021595936823e-05,-1.2521348168172885e-05,6.276205664684942e-06,-0.0005607796156434637,1.961340681111602e-05
684.0,2.7887704624244356,-0.00023507984710871544,3.572296470264507e-05,-9.604722048447139e-06,6.918815062781938e-06,-0.0005877250869014656,2.0917247597170922e-05
695.0,2.77866824778218,-0.00023978789793091505,3.136246728616329e-05,-2.6679192090652563e-06,5.60252525617919e-06,-0.0006217370151977309,1.8501760559108376e-05
706.0,2.7554737881084947,-0.000246686481723594,3.7087033994540126e-05,-5.731088667704196e-06,4.686144474529453e-06,-0.0005899696466548979,3.052308709002e-05
717.0,2.7534263632625158,-0.00023600342511958172,3.334138499542451e-05,6.263954451341304e-06,3.770558291857467e-06,-0.0006331632696693325,2.462571420803261e-05
728.0,2.7350930262653184,-0.0002249314357581778,2.7965385863295713e-05,-6.20140381134813e-06,3.6469683294342045e-06,-0.0006113001950417146,3.318724786874183e-05
739.0,2.730757953902337,-0.0002133489106538946,3.028143161230931e-05,-2.110189603038807e-05,4.921503171932283e-06,-0.0006286082754430335,2.9003746570089946e-05
750.0,2.7151014439766143,-0.0002036337477663345,2.845505454440851e-05,-6.95967121878696e-06,4.238430340695527e-06,-0.0006162417224972845,4.335770962654212e-05
761.0,2.708923940691388,-0.00021540113328202988,3.229909959476572e-05,-6.415843989123952e-06,4.87327104160896e-06,-0.0006752119836174688,3.546260343662994e-05
772.0,2.6953520312170456,-0.0001916287255239789,3.0241612957974275e-05,-9.37530306057633e-06,4.571847881934916e-06,-0.0006569391893701771,3.547531050172236e-05
783.0,2.688254456663284,-0.00020241035785755238,3.7039328838659206e-05,-1.0162148047707283e-05,2.642942724007053e-06,-0.0006282270123634652,4.676222581317098e-05
794.0,2.676191601180336,-0.00019624164540981424,2.836803006469317e-05,-9.680234263168426e-06,4.69939778681156e-06,-0.0006783602202153913,4.538358502572764e-05
805.0,2.6694246444908836,-7.597910815831426e-07,2.3427620612823633e-06,-6.60019890496597e-08,6.170974470025063e-07,-0.00014018847845885903,7.295180586874814e-05
816.0,2.6634482062648277,-6.0796888091417365e-06,5.963065491676812e-06,-2.533872507856628e-06,8.107160527308736e-07,-0.0003343828709378913,6.876231914526613e-05
827.0,2.663904039830919,-1.7735091615760204e-05,1.0019815449259642e-05,-2.294822521108651e-06,1.0950182237223984e-06,-0.00020594840602520886,6.912964223104408e-05
838.0,2.6671296697675384,-1.4192249226247706e-05,8.85417404105455e-06,-2.651896980565267e-06,8.998887928527778e-07,-0.0003413036611603381,5.949126915499095e-05
849.0,2.6662798963448666,-1.5610585084025307e-05,1.0312461793799844e-05,-1.9036136779793732e-06,7.00372187933198e-07,-0.0002792803106858951,6.247538775873895e-05
860.0,2.6694756896630043,-2.5219331992652204e-05,1.4422730417725383e-05,-1.1084985651361794e-06,7.094865008316689e-07,-0.00015349465819553579,6.971547527769205e-05
871.0,2.6629182719136066,-2.52228753331546e-05,1.227007113065658e-05,-2.5509425680090614e-06,1.0894281631247998e-06,-0.00012243539962664252,5.856644784426429e-05
882.0,2.6719799258957524,-2.4568574434824434e-05,1.3096847820676545e-05,-3.6656363459944507e-06,1.336874979437641e-06,-0.00044042477196484174,4.759248616262376e-05
893.0,2.669902356448657,-1.886332774774666e-05,1.3707946216505332e-05,-2.313479684719864e-06,9.711782813960468e-07,-0.00026287595014385626,5.682195963421337e-05
904.0,2.6733608209621686,-5.365293305376139e-05,2.078940886495494e-05,-9.08003686713361e-07,1.765496667300752e-06,0.00028504759920992633,5.857121653447254e-05
915.0,2.6674754558335003,-0.00027954983798989696,3.704582411812565e-05,-1.155147268898348e-05,7.091124903531426e-06,0.0006055223933478274,1.8167392615366102e-05
926.0,2.6493170716936074,-0.00028836273022867615,3.540636211846125e-05,-2.9203420020141835e-06,5.037228001879009e-06,0.0005881117440556142,2.207743847447761e-05
937.0,2.6312556441794936,-0.0002750729647347707,3.593156012810937e-05,-3.5448199670363085e-06,4.194859677761265e-06,0.0004881576823443182,3.09228488317025e-05
948.0,2.6002294014982494,-0.00029238786559321946,3.887940708462518e-05,-7.08127779473686e-06,8.060858633966471e-06,0.0005864342682620389,2.334936904491169e-05
959.0,2.589868693604966,-0.00029783194675522996,4.0090723592443746e-05,-9.421061919649773e-07,6.469072257364931e-06,0.0005379375154623484,2.4528711841962186e-05
970.0,2.567497660586479,-0.00026137215099618393,3.7075825616306787e-05,-1.067243423932347e-05,7.032043996700442e-06,0.0005374487465856972,1.805030458828356e-05
981.0,2.5568444251110356,-0.00024209775248395523,3.5958836307317286e-05,-2.207976789546999e-06,3.194488843693131e-06,0.0004673137442134489,2.8749595033659663e-05
992.0,2.547744222904411,-0.00023954762126157067,3.6325609020605704e-05,4.437339276615095e-06,5.006798937381469e-06,0.00043445461363978484,2.8293043145238262e-05
1003.0,2.5351382520109045,-0.000931334051175888,9.05095710116264e-06,1.0106484186288686e-06,1.4750977608641476e-05,-0.0001978949318960033,4.2902048871652544e-05
1014.0,2.513692413641576,-0.0005401696636156829,4.136132296076698e-05,-3.315731843238995e-05,1.306590888323679e-05,-0.0004717482467122806,1.8699397157656356e-05
1025.0,2.4973586133653938,-0.0005620617471677185,4.000364242737349e-05,-1.3613503796425228e-05,8.024155770382141e-06,-0.0005083404958873747,1.6709919862878446e-05
1036.0,2.474097907590495,-0.000535018587471243,4.134353319734803e-05,-2.5757702904928694e-05,8.823330324296806e-06,-0.000509618288430673,1.6282016217783895e-05
1047.0,2.458479899248416,-0.0005483515333349396,4.054724059950939e-05,-1.891544186334293e-05,7.975518451507429e-06,-0.0005962852328130477,1.7396733432779185e-05
1058.0,2.4351388380923606,-0.0005153619332746712,4.4695804634678126e-05,-1.4837381038952002e-05,9.48842038015851e-06,-0.0006198939257247293,1.983355748837408e-05
1069.0,2.420446050485113,-0.0005382013702981176,4.513237461854067e-05,-1.833521950978623e-05,9.009665132463126e-06,-0.0006283934958394055,2.0951275897603503e-05
1080.0,2.3968086344433885,-0.000516867858101198,4.16033201679409e-05,-1.0405757325246683e-05,9.153392080714861e-06,-0.0006546984989711077,2.0827270529728958e-05
1091.0,2.3832150046455998,-0.0005307574851597537,4.704702712776365e-05,-4.476797058498807e-06,6.922624206596314e-06,-0.0006548616412370363,2.0730725259957213e-05
1102.0,2.3591129928671464,-0.0005017822706646633,3.6442649624914735e-05,3.3933112350522107e-06,7.922887119027456e-06,-0.0007208743591688102,1.9882074832608443e-05
1113.0,2.3467518486893835,-0.000826840637940396,3.256672994240069e-05,-1.4935606934742541e-05,1.3354418528798621e-05,-0.0005691710641295095,4.665031724577261e-05
1124.0,2.3238247953720426,-0.0003105743881586948,3.270603207716944e-05,-2.9379265177991434e-07,4.143293038593435e-06,0.0006149873010215793,4.109015606947414e-05
1135.0,2.310733972645419,-0.0002846418530798548,3.969552474750529e-05,-5.994445894229476e-06,4.131191005170681e-06,0.0006167807054990068,3.5894225473842714e-05
1146.0,2.2941860901634485,-0.00026628701141819303,3.907575877545017e-05,-6.763024353381941e-06,5.280131182418989e-06,0.0006318689387040677,3.144871284195984e-05
1157.0,2.2791347546819614,-0.00024721042742090204,4.010918720854199e-05,-2.85736945774506e-06,4.502608821280759e-06,0.0005637544284229765,3.1411249942578835e-05
1168.0,2.263252419492758,-0.00026979714753142214,3.9404245782252566e-05,-1.0675821862262888e-06,4.427685180007555e-06,0.0005782443877571053,3.701697067863596e-05
1179.0,2.249644019940119,-0.00024165957787755136,3.831222102426891e-05,-4.014573445211186e-06,3.6450906394437395e-06,0.0004572199495872679,4.442956558034863e-05
1190.0,2.234254908170375,-0.00025437358853595837,4.076421401806276e-05,9.197315986237122e-07,2.57902245301602e-06,0.0004992589094035633,3.7700760335772236e-05
1201.0,2.211838116041132,-0.0002537728515317984,3.996463209318532e-05,-6.059494636784662e-06,5.691550015675045e-06,0.0005417549978833319,2.7988827650254765e-05
1212.0,2.200842112970349,-0.0007775283943860488,4.17278599365038e-05,-8.086595047968568e-06,1.215529138308218e-05,0.000560661900932787,2.733330478616807e-05
1223.0,2.1813508880474366,-0.0006481017144374206,4.873279338756682e-05,-2.6169884087436844e-05,8.968631724384446e-06,-0.000551285491878057,2.1535175409437277e-05
1234.0,2.165282998940598,-0.0006495188761171878,4.4334500594404206e-05,-2.2764152811199083e-05,1.0126701748867504e-05,-0.0005903305883211073,2.5649109585056576e-05
1245.0,2.1421368899994757,-0.0006188766846951441,4.5989769671867936e-05,-7.856827141389141e-06,1.030560327202537e-05,-0.0006038990820738616,2.7509718907262287e-05
1256.0,2.127005567087476,-0.000644770365944668,5.385476293113685e-05,-1.4159459170185609e-05,1.1883633461754024e-05,-0.0006679535066668745,2.6796158912846948e-05
1267.0,2.1036935243696813,-0.0006084384387590035,5.001683107409045e-05,-1.6879598212128412e-05,9.197432177835808e-06,-0.0007202342191945546,2.2538639412988377e-05
1278.0,2.0896454519746253,-0.000624927523324812,4.71131714241932e-05,-2.815214697554063e-05,1.0858413400258558e-05,-0.0007671296281308175,2.1255649837824724e-05
1289.0,2.0661603610709456,-0.0005958072500950711,5.101324997955481e-05,-8.103120091211779e-06,7.117166255667479e-06,-0.0008198328471152384,2.1581987071822396e-05
1300.0,2.053215256588847,-0.0006057588828671074,5.021674494749015e-05,-4.554832573177712e-06,8.712519719737082e-06,-0.000836535720306832,2.071029107109004e-05
1311.0,2.0293352873168455,-0.0005828060052885067,4.5510081196114254e-05,-1.3667628292103927e-05,1.2324467377799251e-05,-0.0008411215116206504,2.1427666478534105e-05
1322.0,2.0173886012301985,-0.0008935052104986488,4.225076846619134e-05,-2.3399604063966684e-05,1.4804641283386818e-05,-0.0006907274982148476,4.4607386076750276e-05
1333.0,1.995518604589323,-0.0003240059371601411,4.7918961514930675e-05,9.110397294572521e-06,4.346312344035543e-06,0.0009179608311215308,4.366491459174823e-05
1344.0,1.9827039255283692,-0.00026135992608126844,4.531701137708953e-05,-1.1912381532624439e-05,4.6585416705553835e-06,0.0008052868062898477,4.096706284806422e-05
1355.0,1.9679409334590647,-0.00025764062628072336,4.4116293550072626e-05,-5.523961330512092e-06,4.27088269386894e-06,0.0006737527701354408,5.013466577140439e-05
1366.0,1.9544366285071286,-0.00024008962054836286,4.405907569993154e-05,-1.0713988319596136e-05,4.185336082414858e-06,0.0006873202179238985,4.382219417877418e-05
1377.0,1.9398398029971093,-0.0002523651586471209,3.73548546204762e-05,4.4437019098952956e-06,4.92509011965973e-06,0.0006587812766177057,3.8852448552244074e-05
1388.0,1.9203518197098577,-0.00025186451845760245,4.242994622204333e-05,4.557900787024018e-06,4.057519479081757e-06,0.0006172076274688626,4.55304374578727e-05
1399.0,1.9024752987671696,-0.00021820963680900448,4.147182216892719e-05,-3.3403597799531163e-06,4.218846610926268e-06,0.0005862950296705101,4.278659871539266e-05
1410.0,1.8929598494775013,-0.00022306220246295702,4.176821102989135e-05,-2.0017837409934544e-06,2.563808388650063e-06,0.0004288452268553459,4.798277635444004e-05
1421.0,1.8802981198137836,-0.00020527857084210355,4.368974435225629e-05,-1.0805155462742916e-07,2.4937213165966506e-06,0.00042437764213702994,4.891580199638884e-05
1432.0,1.868388174086989,-0.000710021743642537,5.809546221724146e-05,-1.7210065460184832e-05,1.0712080249514013e-05,0.0006572626238151081,2.4994208588621136e-05
1443.0,1.8550612172693404,-0.0004297319333041446,5.157452514535217e-05,-1.9714225127266243e-05,8.763646711686265e-06,-0.0006315285917733935,2.491954108878304e-05
1454.0,1.8363915529364854,-0.000372120998422793,4.329301207391759e-05,-1.1781407151591651e-05,5.107230472320877e-06,-0.00059931329808179,2.6878808484916502e-05
1465.0,1.8297738165069009,-0.00036866619129958167,5.1594085573379553e-05,-9.29517273938068e-06,4.402306168200295e-06,-0.000684079282469703,3.7840434918450236e-05
1476.0,1.8143034237127755,-0.00034015517956194254,4.608475576583437e-05,-1.1878182098985424e-05,4.607490235041956e-06,-0.0006947012739652361,3.463119347667122e-05
1487.0,1.8060124761264633,-0.0003337261753248272,4.912788361483746e-05,-8.156594974893305e-06,4.738116410839403e-06,-0.0006898438238320425,4.7513740373238124e-05
1498.0,1.792815186872554,-0.0003013053235125696,4.772058506771987e-05,4.23754297311928e-06,3.522148868864817e-06,-0.0006223419765571515,4.273910884946551e-05
1509.0,1.7818946815664456,-0.0003122559850555918,5.100933879123983e-05,-6.764687951014722e-06,5.631429816949506e-06,-0.0007826776669823482,3.0897820691660076e-05
1520.0,1.7660269905805561,-0.0003249112996478738,4.165150956482853e-05,-6.335592199536823e-06,4.535697463546951e-06,-0.0007919532144039362,4.683377428041263e-05
1531.0,1.7622758117637913,-0.0002875050216285853,4.935004279874152e-05,-1.1087147532172101e-05,3.906062865268439e-06,-0.000841090670429847,5.2670225164730294e-05
1542.0,1.7473061786711637,-0.00026951648776081354,4.6132412155294904e-05,-8.430458070495766e-06,3.1263022970814378e-06,-0.0008026524785050325,6.170583143344592e-05
1553.0,1.7430601834919766,-0.00027231894639303676,4.555747983252219e-05,-5.25706372149014e-06,2.350910473607083e-06,-0.0009067425101397151,7.707261647198308e-05
