,ttime,P,error_P,SV,error_SV,SH,error_SH
1509.0,1.7818946815664456,0.00032887677581329954,4.948838275902869e-05,1.3044904512145297e-05,4.336885422544074e-06,0.0,0.0
1520.0,1.7660269905805561,0.0003295382583994831,5.397392830822488e-05,-1.0744763864916638e-06,4.606903986603558e-06,0.0,0.0
1531.0,1.7622758117637913,0.0003127500116146656,5.283171862566432e-05,1.3202437649486553e-05,4.938431042390967e-06,0.0,0.0
1542.0,1.7473061786711637,0.0002894491992669242,5.1252655942856146e-05,9.371283591696114e-06,3.82448886561427e-06,0.0,0.0
1553.0,1.7430601834919766,0.00029181751922549635,4.711929338014962e-05,8.651958048193921e-06,5.86576135837014e-06,0.0,0.0
1564.0,1.7303866581737033,0.0002524791552846974,5.304696148768543e-05,3.098505996845737e-06,2.235344216684823e-06,0.0,0.0
1575.0,1.7248912665325231,0.0002515353242436948,4.426425333772104e-05,3.951938703819002e-06,2.383911510709769e-06,0.0,0.0
1586.0,1.7096774369737195,0.00023768651856861562,4.609015657438121e-05,4.700114744980177e-06,2.1708297888033075e-06,0.0,0.0
1597.0,1.7067787054591979,0.00020981292876716173,4.504805959687824e-05,4.065359569372046e-06,2.523189030953529e-06,0.0,0.0
1608.0,1.6955327758661494,0.00021530332807422623,4.7481158343329986e-05,5.389588184449294e-06,2.3088032516342967e-06,0.0,0.0
1619.0,1.6944539161889527,0.00019886411051407991,4.514681385736637e-05,1.6659163517850387e-06,1.4109036480221353e-06,0.0,0.0
1630.0,1.6830813490010155,0.00019179099526977554,4.1017922218603035e-05,8.57237680635803e-06,3.7565997686489972e-06,0.0,0.0
1641.0,1.6818854989878251,0.0008020880519623243,6.29633331699594e-05,-1.8324207529621684e-05,8.744457971501057e-06,-0.0,0.0
1652.0,1.6717910270968217,0.00015408702514879382,3.8800135941762656e-05,-1.0484612928118622e-06,1.458072198135486e-06,-0.0,0.0
1663.0,1.6490501394123709,0.00014431274795936668,3.776741073420052e-05,2.3560699297591442e-06,2.0013696039498585e-06,-0.0,0.0
1674.0,1.6438735031045353,0.00012431576805027806,3.158623349977718e-05,-2.1870969586672527e-06,1.8012775163172217e-06,-0.0,0.0
1685.0,1.6333902497985862,0.00013756316293081023,3.70853020246452e-05,7.3955735421072e-07,1.1567860919813558e-06,-0.0,0.0
1696.0,1.6205616756348922,0.0001343649722629935,3.966815287123626e-05,-3.6024244777654376e-06,1.983428449921284e-06,-0.0,0.0
1707.0,1.6097013241037672,9.89434088320334e-05,3.176400904173251e-05,-4.162641670190114e-06,1.6557978376380144e-06,-0.0,0.0
1718.0,1.6037433732540356,8.749158305484158e-05,3.397442234591851e-05,-5.709202820010295e-06,2.550701427517624e-06,-0.0,0.0
1729.0,1.5961001451854298,7.429154905212729e-05,2.8100257834503624e-05,-1.602868618455011e-06,1.439880131206519e-06,-0.0,0.0
1740.0,1.5836185963425444,8.120742552027482e-05,2.993635873168187e-05,-3.1691058101668286e-06,2.022594401825195e-06,-0.0,0.0
1751.0,1.5744845664544473,5.506685713617232e-05,2.6765412216464642e-05,-1.464382044561862e-07,8.219278058997325e-07,-0.0,0.0
1762.0,1.5671368869340843,5.594901630698586e-05,2.64203763975505e-05,2.065328992355102e-06,1.1563530815712882e-06,-0.0,0.0
1773.0,1.556377099126833,5.4674673353412496e-05,2.706285155155375e-05,-2.4296431005710163e-06,1.2525688683046685e-06,-0.0,0.0
1784.0,1.5502033286979524,3.547626147134112e-05,2.184542695781208e-05,-6.132860860975965e-07,4.3015237350117404e-07,-0.0,0.0
1795.0,1.5466906641104954,2.8819190577351673e-05,2.1507874849052657e-05,-1.1877050682341166e-06,4.90280777025742e-07,-0.0,0.0
1806.0,1.5309470360243216,2.956814409397064e-05,2.177656614045502e-05,-1.3984976750528567e-06,8.251658173865066e-07,-0.0,0.0
1817.0,1.5327914101118885,2.3334035669649716e-05,1.3558584386090422e-05,-1.0449090064543762e-06,7.076284686330598e-07,-0.0,0.0
1828.0,1.5280936265137681,4.5416988839451904e-05,2.1189093687926235e-05,-7.583583559507585e-07,4.858079869125164e-07,-0.0,0.0
1839.0,1.5243407466950445,0.0009409140126872794,7.711970501908543e-05,-7.30412756825733e-06,1.181182791754953e-05,0.0,0.0
1850.0,1.5086248503490791,0.0006634915883043273,6.070698143440306e-05,7.183902010425694e-06,5.620814844873897e-06,0.0,0.0
1861.0,1.4935497493522591,0.0006773633806882274,7.212829488096635e-05,-7.071000035086659e-06,7.441258165074745e-06,0.0,0.0
1872.0,1.4742295869704043,0.0006723913252314183,7.054782715773528e-05,5.885560541194419e-06,8.933488204961984e-06,0.0,0.0
1883.0,1.4630096518585154,0.0006614000381815983,7.66166794752977e-05,1.070794089072583e-05,4.847491819594794e-06,0.0,0.0
1894.0,1.4436573811468951,0.0006317477626904223,6.798809823662883e-05,6.401323467882962e-06,7.858494479924675e-06,0.0,0.0
1905.0,1.4340023747845563,0.0006195651206567836,7.303046545704415e-05,2.249516136265166e-06,6.6044120361783765e-06,0.0,0.0
1916.0,1.4145655927219534,0.0006106568752150716,7.70439210053097e-05,1.584782970864802e-05,7.188776035976943e-06,0.0,0.0
1927.0,1.4065430620580277,0.0005865959660108326,5.803687492227171e-05,1.7365044149832164e-05,6.889314387803301e-06,0.0,0.0
1938.0,1.3881927689365363,0.0005640321845290454,7.98354402618632e-05,5.214957769649669e-06,6.365734758115576e-06,0.0,0.0
1949.0,1.3805142158342902,0.0005379877514088241,7.043286768407764e-05,1.9519417851903883e-05,5.150292133082549e-06,0.0,0.0
1960.0,1.3644827003729494,0.0005069561729159887,6.795795083804251e-05,2.707566723552848e-05,8.0826222475459e-06,0.0,0.0
1971.0,1.3562614381170701,0.00048594273700725146,7.727279287372105e-05,1.6590003406785906e-05,6.106347805501639e-06,0.0,0.0
1982.0,1.3425315228146106,0.00044742239582912246,7.126344225995427e-05,1.237278960640568e-05,6.043920114502752e-06,0.0,0.0
1993.0,1.3301179360014577,0.0004107900511362035,7.005473876049279e-05,1.0680020665766647e-05,3.380438969332406e-06,0.0,0.0
2004.0,1.3182905767106767,0.00038616282946997,6.908440157288765e-05,1.5694397846384783e-05,4.495874652422098e-06,0.0,0.0
2015.0,1.3121798894345673,0.0004417370428950246,6.906060865406951e-05,9.645500756100902e-06,3.168863443253981e-06,0.0,0.0
2026.0,1.3001938573617933,0.0013835067563191814,6.737330879351447e-05,1.9401538436179296e-06,1.5393832205071416e-05,-0.0,0.0
2037.0,1.2841374230013696,0.0008227979785334781,7.4190472826541e-05,-2.6868102386172824e-06,7.409613307507367e-06,-0.0,0.0
2048.0,1.2632358808858222,0.0008243998347130906,8.7614872024946e-05,3.3131947254773045e-06,6.757661092473724e-06,-0.0,0.0
2059.0,1.2450861514201474,0.0007947432972406585,8.1678274601499e-05,-2.329580496831408e-06,6.112233737993953e-06,-0.0,0.0
2070.0,1.224294720649544,0.0008070803925092224,8.945138332078471e-05,2.118262719448943e-06,8.547423652739083e-06,-0.0,0.0
2081.0,1.2072656434733833,0.0007619572562060577,9.158944833739913e-05,1.327106278292916e-05,6.978483130708978e-06,-0.0,0.0
2092.0,1.175335741336233,0.0011505492622174785,8.305319277279376e-05,1.645235487496743e-06,8.882061056564073e-06,-0.0,0.0
2103.0,1.163718809671678,0.001356300111410193,8.412271246060614e-05,2.3947588718766655e-05,1.4615746912504173e-05,0.0,0.0
2114.0,1.1491433536326243,0.001199061444278636,8.873935490463119e-05,1.679422301584529e-05,1.1098065394996238e-05,0.0,0.0
2125.0,1.1263045488900973,0.0011490497176337743,9.60670272127474e-05,2.7581786811970603e-06,1.2316720771788612e-05,0.0,0.0
2136.0,1.1139009726955749,0.001150636934876643,9.889681161771243e-05,-1.8046417287693657e-05,8.649889674229735e-06,0.0,0.0
2147.0,1.0904249777560762,0.001205904066537853,9.432863570942038e-05,9.522200726980357e-07,6.987435986890383e-06,0.0,0.0
2158.0,1.0777748798852302,0.0021828003632183017,4.414389855015566e-05,1.695554179257477e-05,1.9351490439264526e-05,0.0,0.0
2169.0,1.052881595458746,0.0022551221824650314,3.700005523270648e-05,0.00010216707555406002,2.4336970805813253e-05,0.0,0.0
2180.0,1.0189366295779778,0.0022016526298003617,6.376684299610228e-05,3.253433309500473e-05,1.848884017546383e-05,-0.0,0.0
2191.0,1.0026230857352916,0.001505792609967597,0.00010766231226398171,3.056475097462745e-07,8.287044447954478e-06,-0.0,0.0
2202.0,0.9785520810760725,0.001502429108659892,0.0001017050191089997,5.992548220408095e-06,4.6996490195142e-06,-0.0,0.0
2213.0,0.9506555248977885,0.0015736382391707336,0.0001165482018889337,8.816863691756449e-06,1.0835106365022886e-05,-0.0,0.0
2224.0,0.921209244225277,0.0015046836358837792,0.00010871351598696277,-2.037600057076953e-06,5.15499687064329e-06,-0.0,0.0
2235.0,0.904444956807692,0.0015397655784912536,0.00010053906101720195,8.998926706434286e-06,8.6627851040893e-06,-0.0,0.0
2246.0,0.8774065901516883,0.0014591989890324756,0.00011861571648728092,1.6598629528730573e-05,1.1272228863731772e-05,-0.0,0.0
2257.0,0.8595860170924222,0.001532134436228517,0.00012423569860251765,-7.296615701833993e-06,9.579067161103624e-06,-0.0,0.0
2268.0,0.8408217553157796,0.002878813656991535,4.500629208389067e-05,1.0143386228906167e-05,1.5544004864304643e-05,0.0,0.0
2279.0,0.8208738886124057,0.002427534310938248,9.965951680926723e-05,1.5526228858781044e-05,1.0596806149042586e-05,0.0,0.0
2290.0,0.7932728933672012,0.0024443890032444177,0.0001123897258754709,6.7060300103594436e-06,9.605378551251608e-06,0.0,0.0
2301.0,0.7617857885783978,0.0024245725301801175,0.00012005853157620011,1.2084201389984138e-05,1.0601618632665637e-05,0.0,0.0
2312.0,0.7456230862146598,0.0024789178002891234,0.00014102720574034658,6.417810855637651e-06,1.0608757401926539e-05,0.0,0.0
2323.0,0.7250850867509372,0.002404609723359163,0.00014290257791231664,8.208860207537451e-07,6.706668515522815e-06,0.0,0.0
2334.0,0.7060546704292201,0.0025189814516611633,0.00013238083218210556,2.1182842312525472e-05,1.1386630858986894e-05,0.0,0.0
