distance,angle_from_map,lon,lat,Altitude
111,147.6306307,4.386928698,50.82200079,-0.074
112,147.6306307,4.386928698,50.82200079,-0.073
113,147.6306307,4.386928698,50.82200079,-0.072
114,147.6306307,4.386928698,50.82200079,-0.071
115,147.6306307,4.386928698,50.82200079,-0.07
116,147.6306307,4.386928698,50.82200079,-0.069
117,147.6306307,4.386928698,50.82200079,-0.068
118,147.6306307,4.386928698,50.82200079,-0.067
119,147.6306307,4.386928698,50.82200079,-0.066
120,147.6306307,4.386928698,50.82200079,-0.065
121,147.6306307,4.386928698,50.82200079,-0.064
122,147.6306307,4.386928698,50.82200079,-0.063
123,147.6306307,4.386928698,50.82200079,-0.062
124,147.6306307,4.386928698,50.82200079,-0.061
125,147.6306307,4.386928698,50.82200079,-0.06
126,147.6306307,4.386928698,50.82200079,-0.059
127,147.6306307,4.386928698,50.82200079,-0.058
128,147.6306307,4.386928698,50.82200079,-0.057
129,147.6306307,4.386928698,50.82200079,-0.056
130,147.6306307,4.386928698,50.82200079,-0.055
131,147.6306307,4.386928698,50.82200079,-0.054
132,147.6306307,4.386928698,50.82200079,-0.053
133,147.6306307,4.386928698,50.82200079,-0.052
134,147.6306307,4.386928698,50.82200079,-0.051
135,147.6306307,4.386928698,50.82200079,-0.05
136,147.6306307,4.386928698,50.82200079,-0.049
137,147.6306307,4.386928698,50.82200079,-0.048
138,147.6306307,4.386928698,50.82200079,-0.047
139,147.6306307,4.386928698,50.82200079,-0.046
140,147.6306307,4.386928698,50.82200079,-0.045
141,147.6306307,4.386928698,50.82200079,-0.044
142,147.6306307,4.386928698,50.82200079,-0.043
143,147.6306307,4.386928698,50.82200079,-0.042
144,147.6306307,4.386928698,50.82200079,-0.041
145,147.6306307,4.386928698,50.82200079,-0.04
146,147.6306307,4.386928698,50.82200079,-0.039
147,147.6306307,4.386928698,50.82200079,-0.038
148,147.6306307,4.386928698,50.82200079,-0.037
149,147.6306307,4.386928698,50.82200079,-0.036
150,147.6306307,4.386928698,50.82200079,-0.035
151,147.6306307,4.386928698,50.82200079,-0.034
152,147.6306307,4.386928698,50.82200079,-0.033
153,147.6306307,4.386928698,50.82200079,-0.032
154,147.6306307,4.386928698,50.82200079,-0.031
155,147.6306307,4.386928698,50.82200079,-0.03
156,147.6306307,4.386928698,50.82200079,-0.029
157,147.6306307,4.386928698,50.82200079,-0.028
158,147.6306307,4.386928698,50.82200079,-0.027
159,147.6306307,4.386928698,50.82200079,-0.026
160,147.6306307,4.386928698,50.82200079,-0.025
161,147.6306307,4.386928698,50.82200079,-0.024
162,147.6306307,4.386928698,50.82200079,-0.023
163,147.6306307,4.386928698,50.82200079,-0.022
