distance,angle_from_map,lat,lon,depth
112,262.2638241,50.82187741,4.386835963,-0.1
113,262.2638241,50.82187621,4.386821899,-0.1
114,266.0040102,50.82187539,4.386807772,-0.1
115,266.0040102,50.82187477,4.386793614,-0.1
116,269.7440146,50.82187417,4.386779456,-0.1
117,269.7440146,50.82187413,4.386765264,-0.1
118,269.7440146,50.82187409,4.386751072,-0.1
119,273.4840077,50.82187429,4.386736891,-0.1
120,273.4840077,50.82187484,4.386722726,-0.1
121,273.4840077,50.82187539,4.38670856,-0.1
122,277.2241608,50.82187638,4.386694461,-0.1
123,277.2241608,50.82187752,4.386680382,-0.1
124,280.964642,50.82187872,4.386666321,-0.1
125,280.964642,50.82188043,4.386652389,-0.1
126,280.964642,50.82188214,4.386638457,-0.1
127,284.7056139,50.82188413,4.386624625,-0.1
128,284.7056139,50.82188642,4.386610899,-0.1
129,284.7056139,50.8218887,4.386597173,-0.1
130,288.4472309,50.82189146,4.38658367,-0.1
131,288.4472309,50.82189431,4.386570209,-0.1
132,292.1896366,50.82189727,4.386556814,-0.1
133,292.1896366,50.82190067,4.386543675,-0.1
134,292.1896366,50.82190406,4.386530535,-0.1
135,295.9329612,50.82190776,4.386517611,-0.1
136,295.9329612,50.8219117,4.386504849,-0.1
137,295.9329612,50.82191563,4.386492088,-0.1
138,299.6773193,50.82192005,4.38647973,-0.1
139,299.6773193,50.8219245,4.386467401,-0.1
140,303.422808,50.8219291,4.386455215,-0.1
141,303.422808,50.82193405,4.386443372,-0.1
142,303.422808,50.82193901,4.386431529,-0.1
143,307.1695051,50.82194428,4.386420038,-0.1
144,307.1695051,50.82194971,4.386408731,-0.1
145,310.9174682,50.82195515,4.386397435,-0.1
146,310.9174682,50.82196104,4.386386714,-0.1
147,310.9174682,50.82196693,4.386375992,-0.1
148,314.6667329,50.82197298,4.386365511,-0.1
149,314.6667329,50.82197931,4.386355421,-0.1
150,314.6667329,50.82198563,4.38634533,-0.1
151,318.4173127,50.82199225,4.386335743,-0.1
152,318.4173127,50.82199898,4.386326326,-0.1
153,322.1691987,50.82200574,4.386316989,-0.1
154,322.1691987,50.82201284,4.386308288,-0.1
155,322.1691987,50.82201995,4.386299586,-0.1
