Distance,lat,lon,Elevation,depth
1124,39.80285964,-119.0074682,1234.819,-1.234819
1135,39.80295152,-119.0074949,1234.840545,-1.234840545
1146,39.80304737,-119.0075288,1234.962545,-1.234962545
1157,39.8031432,-119.0075627,1234.971091,-1.234971091
1168,39.80323905,-119.0075966,1234.942364,-1.234942364
1179,39.80333489,-119.0076305,1234.846727,-1.234846727
1190,39.80343072,-119.0076645,1234.818455,-1.234818455
1201,39.80352657,-119.0076984,1234.839545,-1.234839545
1212,39.80362241,-119.0077322,1234.884636,-1.234884636
1223,39.80368779,-119.0077114,1234.982182,-1.234982182
1234,39.80369412,-119.0075844,1235.240455,-1.235240455
1245,39.80369895,-119.0074546,1235.540818,-1.235540818
1256,39.80370378,-119.0073249,1235.875364,-1.235875364
1267,39.80370861,-119.0071952,1236.150909,-1.236150909
1278,39.80371343,-119.0070655,1236.563545,-1.236563545
1289,39.80371826,-119.0069357,1237.042545,-1.237042545
1300,39.80372309,-119.006806,1237.456455,-1.237456455
1311,39.80372792,-119.0066763,1237.592545,-1.237592545
1322,39.80373276,-119.0065466,1237.814364,-1.237814364
1333,39.80375695,-119.006454,1238.425545,-1.238425545
1344,39.80384595,-119.0064856,1237.975909,-1.237975909
1355,39.80394012,-119.0065271,1238.083818,-1.238083818
1366,39.80403428,-119.0065686,1238.102364,-1.238102364
1377,39.80412846,-119.0066101,1238.017909,-1.238017909
1388,39.80422262,-119.0066516,1237.895636,-1.237895636
1399,39.80431678,-119.0066931,1237.698545,-1.237698545
1410,39.80441095,-119.0067346,1237.449273,-1.237449273
1421,39.80450512,-119.0067761,1237.231636,-1.237231636
1432,39.80459929,-119.0068176,1237.065636,-1.237065636
1443,39.80465771,-119.0068092,1236.947727,-1.236947727
1454,39.80463472,-119.0066872,1237.218273,-1.237218273
1465,39.80460878,-119.0065611,1237.601727,-1.237601727
1476,39.80458282,-119.006435,1237.975727,-1.237975727
1487,39.80455685,-119.0063088,1238.254,-1.238254
1498,39.80453089,-119.0061827,1238.557,-1.238557
1509,39.80450495,-119.0060565,1238.884182,-1.238884182
1520,39.80447898,-119.0059304,1239.252,-1.239252
1531,39.80445302,-119.0058042,1239.698545,-1.239698545
1542,39.80442706,-119.0056781,1240.125364,-1.240125364
1553,39.8044011,-119.0055519,1240.498455,-1.240498455
1564,39.80437515,-119.0054258,1240.786455,-1.240786455
1575,39.80434919,-119.0052996,1240.996182,-1.240996182
1586,39.80432322,-119.0051735,1241.211364,-1.241211364
1597,39.80429727,-119.0050474,1241.441,-1.241441
1608,39.80427132,-119.0049212,1241.700273,-1.241700273
1619,39.80424535,-119.0047951,1241.965818,-1.241965818
1630,39.80421939,-119.0046689,1242.275545,-1.242275545
1641,39.80419517,-119.0045462,1242.655091,-1.242655091
1652,39.80423981,-119.0045548,1242.397545,-1.242397545
1663,39.80431994,-119.0046314,1242.364091,-1.242364091
1674,39.80440008,-119.0047079,1242.400091,-1.242400091
1685,39.80448022,-119.0047844,1242.299182,-1.242299182
1696,39.80456036,-119.0048609,1242.135091,-1.242135091
1707,39.8046405,-119.0049374,1241.826091,-1.241826091
