,channel,peak_time,peak_value,peak_width,status,RMS,RMS_error
283,283,6021.0,0.35246261954307556,68.0,measured,0.6729427205743471,0.01746106291096248
284,284,6013.0,0.3352183699607849,69.0,measured,0.6367612313264971,0.025795412903394304
285,285,6009.0,0.369210422039032,68.0,measured,0.5007425396616226,0.01742835583663401
286,286,6009.0,0.3710574805736542,70.0,measured,0.30876712264063433,0.01335834784854529
287,287,6013.0,0.41106095910072327,69.0,measured,0.3726821975245295,0.02053320828949805
288,288,6009.0,0.26149553060531616,73.0,measured,0.4206511468220384,0.033487068106793916
289,289,5997.0,0.1842447966337204,70.0,measured,0.5329981255611328,0.05524930464799128
290,290,5997.0,0.19971980154514313,76.0,measured,0.5648739231162632,0.06139661361292729
291,291,5997.0,0.27102556824684143,108.0,measured,0.670014379549974,0.09063193046195239
292,292,5993.0,0.38919129967689514,79.0,measured,0.6209387808239106,0.08642790276228994
293,293,5989.0,0.49709975719451904,75.0,measured,0.6563932650707652,0.0658391236387505
294,294,5993.0,0.41863858699798584,79.0,measured,0.7512679229954027,0.06209028536938555
295,295,6001.0,0.357186883687973,87.0,measured,0.9606209311528867,0.04123326410153047
296,296,6005.0,0.36131659150123596,83.0,measured,0.7046436999321918,0.03758433036755543
297,297,5985.0,0.14882943034172058,95.0,measured,0.3464239733235362,0.03377218063813031
298,298,6025.0,0.07368104159832001,93.0,measured,0.5128849619889919,0.037018493611710994
299,299,6037.0,0.07510069012641907,93.0,measured,0.7399940001183428,0.008896247733954732
300,300,6025.0,0.05818324536085129,95.0,measured,0.6458887750493953,0.008413521187321136
301,301,6017.0,0.08048075437545776,83.0,measured,0.32790279570689335,0.010038226808495887
302,302,6049.0,0.03999599814414978,83.0,measured,0.3674833001265289,0.029710933084201363
303,303,6065.0,0.02681608870625496,78.0,measured,0.5281666762881366,0.02731890274129739
304,304,6081.0,0.016271352767944336,85.0,measured,0.45493367279721086,0.017693131411806503
305,305,6081.0,0.016576092690229416,89.0,measured,0.25882456583447416,0.03608303967224252
306,306,6073.0,0.014705450274050236,91.0,measured,0.1977647058894127,0.03819159495911321
307,307,6049.0,0.019036276265978813,96.0,measured,0.290401357075068,0.028903613928210004
308,308,6049.0,0.027004748582839966,93.0,measured,0.3084125606682082,0.02071636834668258
309,309,6017.0,0.0338730625808239,100.0,measured,0.3627664008845044,0.017633975011560284
310,310,6049.0,0.015486683696508408,153.0,measured,0.3968507742369788,0.02871909860408772
311,311,6073.0,0.013138515874743462,93.0,measured,0.3228422348734602,0.0556166243285347
312,312,6065.0,0.018817733973264694,95.0,measured,0.3587810201099541,0.07446373350433545
313,313,6049.0,0.0791923776268959,85.0,measured,0.509666117365319,0.04935717375679344
314,314,6017.0,0.0784711092710495,84.0,measured,0.691548066801515,0.036415167346895
315,315,6017.0,0.11836770921945572,80.0,measured,0.6499343650980733,0.030561350687448228
316,316,6038.0,0.08407825976610184,103.0,measured,0.5823263422169132,0.020604433887392717
317,317,5985.0,0.12984806299209595,93.0,measured,0.5410220883087612,0.028439856055388922
318,318,5982.0,0.09796839952468872,96.0,measured,0.4573692451253515,0.0181083861870781
319,319,5985.0,0.1598432958126068,80.0,measured,0.4037290438648622,0.010936643718007368
320,320,5953.0,0.21252092719078064,80.0,measured,0.2723462223399978,0.01520416238069372
321,321,5953.0,0.18900996446609497,87.0,measured,0.2838227919937593,0.01662586105208117
322,322,5985.0,0.0803864374756813,92.0,measured,0.30380642632253285,0.006489256421276074
323,323,6017.0,0.07765478640794754,93.0,measured,0.46759500402730825,0.019511660313048004
